판례일련번호,구분,문장번호,내용
311058,판례내용,1,수원지방법원 평택지원
311058,판례내용,2,판결
311058,판례내용,3,사건 2024고단690 도로교통법위반(음주측정거부)
311058,판례내용,4,피고인 A
311058,판례내용,5,"검사 석○(기소), 최○(공판)"
311058,판례내용,6,변호인 변호사 현문경(국선)
311058,판례내용,7,판결 선고 2024.7.12.
311058,판례내용,8,주문
311058,판례내용,9,피고인을 징역 6월에 처한다.
311058,판례내용,10,"다만, 이 판결 확정일로부터 1년간 위 형의 집행을 유예한다."
311058,판례내용,11,이유
311058,판례내용,12,범죄사실
311058,판례내용,13,피고인은 2024.2.11.
311058,판례내용,14,"22:28경, 평택시 B 아파트 지하주차장에서부터 위 아파트 정문 앞 도로까지 술을 마신 상태로 (차량번호 1 생략)아이오닉 하이브리드 승용차를 운전하던 중, 112 신고전화를 받고 현장에 출동한 평택경찰서 C지구대 소속 경장 D, 순경 E이 운전하는 순찰차에 가로막혀 정차하게 되었다."
311058,판례내용,15,"당시 피고인은 말을 더듬고, 보행상태가 약간 비틀거렸으며 혈색이 붉고 술냄새가 많이 나는 등 술에 취한 상태에서 운전하였다고 인정할 만한 상당한 사유가 있어 위 경찰관들로부터 같은 날 22:55경부터 23:08경까지 3차례에 걸쳐 음주측정기에 입김을 불어 넣는 방법으로 음주측정에 응할 것을 요구받았으나 이를 거부하였다."
311058,판례내용,16,이로써 피고인은 정당한 사유 없이 경찰공무원의 음주측정요구에 응하지 아니하였다.
311058,판례내용,17,증거의 요지
311058,판례내용,18,1.피고인의 법정진술
311058,판례내용,19,1.입건전조사보고서(증거목록 순번 6)
311058,판례내용,20,"1.주취운전정황보고서, 주취운전자 정황진술보고서 등, 음주측정기 사용대장 복사본"
311058,판례내용,21,1.112신고사건처리표
311058,판례내용,22,1.사진대장
311058,판례내용,23,법령의 적용
311058,판례내용,24,1.범죄사실에 대한 해당법조 및 형의 선택
311058,판례내용,25,"도로교통법 제148조의2 제2항, 제44조 제2항, 징역형 선택"
311058,판례내용,26,1.정상참작감경
311058,판례내용,27,"형법 제53조, 제55조 제1항 제3호"
311058,판례내용,28,1.집행유예
311058,판례내용,29,형법 제62조 제1항
311058,판례내용,30,양형의 이유
311058,판례내용,31,"피고인이 이 사건 범행에 이르게 된 경위, 경찰공무원으로부터 음주측정 요구를 거부할 당시 피고인이 보인 태도 등에 비추어 피고인에 대하여 엄중한 처벌이 필요하나, 피고인이 범행사실을 인정하고 반성하는 태도를 보이고 있는 점, 음주운전이나 음주측정거부로 처벌받은 전력이 없는 점 등을 피고인에게 유리한 정상으로 참작하고, 그 밖에 피고인의 나이, 성행, 환경, 가족관계, 가정환경, 범행의 경위 및 범행 후의 정황 등 이 사건 기록 및 변론에 나타난 여러 양형조건들을 종합하여 주문과 같이 형을 정한다."
311058,판례내용,32,판사 김○ _________________________
